PRODUCT CODE,PRODUCT TITLE,BRAND,PRODUCT TYPE,GTIN,PRICE
GDN47327,Kitchen Waste Caddy Bin Recyclable Polypropylene 7 Litre Moss Green GDURBA7KC,Unbranded,Rubbish Bins,8032755473275,3.48
OT53710,Eden Self Watering Pot 16cm White 53710,Eden,"Home, Leisure & Car Care",6411760537103,3.93
GDN73275,Kitchen Waste Caddy Bin Recyclable Polypropylene 10 Litre Moss Green GDURBA10KC,Unbranded,Rubbish Bins,80327554732752,4.22
RWS16426,Plenty Original Kitchen Towel 95 Sheets (Pack of 3) 11121,Plenty,Catering Sundries,7310361164260,4.34
RK800040,Dettol Mould and Mildew Remover 750ml 3 For 2 RK800040,Dettol,Cleaning Products,,5.10
KC58213,Andrex Ultimate Quilts Toilet Roll 3-Ply 460 Sheets Per Roll (Pack of 9) 4474132,Andrex,Sanitary Refills,5029053582139,5.12
OT48210,Paulina Self Watering Pot 20cm White 48210,Paulina,"Home, Leisure & Car Care",6411760482106,5.23
OT04835,Splash Recycled Watering Can 5 Litre Black 4003529,Splash,Garden Tools,7332462048355,5.34
CRO34469,Compostable Food Waste Liner 25 Litre Green 3 Rolls x25 (Pack of 75) 023215/C3,Unbranded,Cleaning Equipment,5060302634469,5.48
OT07300,Birdie Bird Feeder 4 Litre Black 9323790,Bridie,"Home, Leisure & Car Care",7332462073005,5.57
OT07302,Katan Bird Feeder 2 Litre Black 9325790,Katan,"Home, Leisure & Car Care",7332462073029,5.57
SGL54269,M System Magnet Key SUPCJSI009,Unbranded,Sanitary Dispensers,9504355542693,5.84
OT54110,Eden Self Watering Pot 20cm White 54110,Eden,"Home, Leisure & Car Care",6411760541100,6.07
WFH00903,Whitefurze Windowsill Propagator Set Green/Clear G2666SET,Whitefurze,Garden Tools,5016447009037,6.18
SGL61861,M System Black Single Bracket (Pack of 2) SUPCJSI007,Unbranded,Sanitary Dispensers,9507931618614,6.40
OT04794,Splash Recycled Watering Can 10 Litre Black 4010529,Splash,Garden Tools,7332462047945,7.75
OT48310,Paulina Self Watering Pot 25cm White 48310,Paulina,"Home, Leisure & Car Care",6411760483103,7.86
OT48365,Paulina Self Watering Pot 25cm Black 48365,Paulina,"Home, Leisure & Car Care",6411760483653,7.86
